rxn_code,mech_id,namerxn,step,smarts_reactant,smarts_product,full_smarts
10.1.1,4253,Bromination,,[Br:1][Br:2].[c;H1;+0:3]:[c;+0:4],[Br;-1;H0:1].[Br;H0:2][c;H1;+0:3]:[c;+1:4],[Br:1][Br:2].[c;H1;+0:3]:[c;+0:4]>>[Br;-1;H0:1].[Br;H0:2][c;H1;+0:3]:[c;+1:4]
10.1.1,4255,Bromination,,[O;H0;+0:1]=[C:2]-[C;+0:3],[O;+1;H1:1]=[C;+0:2]-[C;+0:3],[O;H0;+0:1]=[C:2]-[C;+0:3]>>[O;+1;H1:1]=[C;+0:2]-[C;+0:3]
10.1.1,4271,Bromination,,"[#26,#13:1]([Br:2])([Br:3])[Br:4].[Br:5][Br:6]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6]","[#26,#13:1]([Br:2])([Br:3])[Br:4].[Br:5][Br:6]>>[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6]"
10.1.1,4274,Bromination,,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;H0;+0:6]>>[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6]"
10.1.1,4254,Bromination,1,[Br;H0:1][c;H1;+0:2]:[c;+1:3],[Br;H0:1][c;H0;+0:2]:[c;+0:3],[Br;H0:1][c;H1;+0:2]:[c;+1:3]>>[Br;H0:1][c;H0;+0:2]:[c;+0:3]
10.1.1,4256,Bromination,1,[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;-1;H1:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8:5]>>[#6:1](-[#6;-1;H1:2]-[#6:3]=[#8:4])=[#8:5]
10.1.1,4257,Bromination,1,[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;-1;H0:2]-[#6:3]=[#8:4])=[#8:5],[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8:5]>>[#6:1](-[#6;-1;H0:2]-[#6:3]=[#8:4])=[#8:5]
10.1.1,4258,Bromination,1,[#6:1](-[#6;H3:2])=[#8:3],[#6:1](-[#6;-1;H2:2])=[#8:3],[#6:1](-[#6;H3:2])=[#8:3]>>[#6:1](-[#6;-1;H2:2])=[#8:3]
10.1.1,4259,Bromination,1,[#6:1](-[#6;H2:2])=[#8:3],[#6:1](-[#6;-1;H1:2])=[#8:3],[#6:1](-[#6;H2:2])=[#8:3]>>[#6:1](-[#6;-1;H1:2])=[#8:3]
10.1.1,4260,Bromination,1,[#6:1](-[#6;H1:2])=[#8:3],[#6:1](-[#6;-1;H0:2])=[#8:3],[#6:1](-[#6;H1:2])=[#8:3]>>[#6:1](-[#6;-1;H0:2])=[#8:3]
10.1.1,4261,Bromination,1,[#6:1](-[#6;H3:2])#[#7:3],[#6:1](-[#6;-1;H2:2])#[#7:3],[#6:1](-[#6;H3:2])#[#7:3]>>[#6:1](-[#6;-1;H2:2])#[#7:3]
10.1.1,4262,Bromination,1,[#6:1](-[#6;H2:2])#[#7:3],[#6:1](-[#6;-1;H1:2])#[#7:3],[#6:1](-[#6;H2:2])#[#7:3]>>[#6:1](-[#6;-1;H1:2])#[#7:3]
10.1.1,4263,Bromination,1,[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8;+1;H1:5],[#6:1](=[#6;H1;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5],[#6:1](-[#6;H2:2]-[#6:3]=[#8:4])=[#8;+1;H1:5]>>[#6:1](=[#6;H1;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5]
10.1.1,4264,Bromination,1,[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8;+1;H1:5],[#6:1](=[#6;H0;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5],[#6:1](-[#6;H1:2]-[#6:3]=[#8:4])=[#8;+1;H1:5]>>[#6:1](=[#6;H0;+0:2]-[#6:3]=[#8:4])-[#8;H1;+0:5]
10.1.1,4265,Bromination,1,[#6:1](-[#6;H3:2])=[#8;+1;H1:3],[#6:1](=[#6;H2;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H3:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H2;+0:2])-[#8;H1;+0:3]
10.1.1,4266,Bromination,1,[#6:1](-[#6;H2:2])=[#8;+1;H1:3],[#6:1](=[#6;H1;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H2:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H1;+0:2])-[#8;H1;+0:3]
10.1.1,4267,Bromination,1,[#6:1](-[#6;H1:2])=[#8;+1;H1:3],[#6:1](=[#6;H0;+0:2])-[#8;H1;+0:3],[#6:1](-[#6;H1:2])=[#8;+1;H1:3]>>[#6:1](=[#6;H0;+0:2])-[#8;H1;+0:3]
10.1.1,4272,Bromination,1,"[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6].[c;H1;+0:7]:[a;+0:8]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]","[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+1:5][Br:6].[c;H1;+0:7]:[a;+0:8]>>[#26,#13;-1:1]([Br:2])([Br:3])([Br:4])[Br;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]"
10.1.1,4275,Bromination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:3]-[O;-1:4])[C:5]=[O:6]"
10.1.1,4276,Bromination,1,"[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]","[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]","[Cl,Br,I:1][N:2]([C:3]=[O:4])[C:5]=[O;+1;H1:6].[c;H1;+0:7]:[a;+0:8]>>[Cl,Br,I;H0:1]-[c;H1;+0:7]:[a;+1:8].[N;H0;+0:2](=[C:5]-[O;H1;+0:6])[C:3]=[O:4]"
10.1.1,4268,Bromination,2,[Br:1][Br:2].[O;H1:3]-[C:4]=[C;+0:5],[Br:1][C;+0:5]-[C:4]=[O;+1;H1:3].[Br;-1;H0:2],[Br:1][Br:2].[O;H1:3]-[C:4]=[C;+0:5]>>[Br:1][C;+0:5]-[C:4]=[O;+1;H1:3].[Br;-1;H0:2]
10.1.1,4269,Bromination,2,[Br:1][Br:2].[O;H0:3]=[C:4]-[C;-1:5],[Br:1][C;+0:5]-[C:4]=[O;H0:3].[Br;-1;H0:2],[Br:1][Br:2].[O;H0:3]=[C:4]-[C;-1:5]>>[Br:1][C;+0:5]-[C:4]=[O;H0:3].[Br;-1;H0:2]
10.1.1,4273,Bromination,2,[#26;-1:1]([Br;D1:2])([Br;D1:3])([Br;D1:4])[Br;D1;H0;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8],[#26;+0:1]([Br:2])([Br:3])[Br:4].[Br;H1;+0:5].[Br;H0:6]-[c;H0;+0:7]:[a;+0:8],[#26;-1:1]([Br;D1:2])([Br;D1:3])([Br;D1:4])[Br;D1;H0;+0:5].[Br;H0:6]-[c;H1;+0:7]:[a;+1:8]>>[#26;+0:1]([Br:2])([Br:3])[Br:4].[Br;H1;+0:5].[Br;H0:6]-[c;H0;+0:7]:[a;+0:8]
